nome,continente,pais,estagio,data_limite
Edital A Inovação,Oceania,Austrália,Semente,2025-07-24
Edital B Inovação,África,Austrália,Pré-semente,2025-07-18
Edital C Inovação,América do Norte,Japão,Semente,2025-05-24
Edital D Inovação,Europa,Argentina,Empresa estabelecida,2025-05-28
Edital E Inovação,Oceania,França,Série B,2025-07-15
Edital F Inovação,Europa,França,Validação,2025-07-10
Edital G Inovação,Europa,Brasil,Pré-semente,2025-08-05
Edital H Inovação,África,França,Série B,2025-06-28
Edital I Inovação,América do Norte,Austrália,Série A,2025-07-22
Edital J Inovação,África,Austrália,Série B,2025-06-18
